UT,AU
WOS:000544017700009,"Caplin, A; Csaba, D; Leahy, J; Nov, O"
WOS:000489163400002,"Jones, D; Molitor, D; Reif, J"
WOS:000489162800005,"Kline, P; Petkova, N; Williams, H; Zidar, O"
WOS:000489161300009,"Alvarez, F; Beraja, M; Gonzalez-Rozada, M; Neumeyer, PA"
WOS:000412764300001,"Andrews, I; Gentzkow, M; Shapiro, JM"
WOS:000388576700001,"Baker, SR; Bloom, N; Davis, SJ"
WOS:000380249200005,"Artavanis, N; Morse, A; Tsoutsoura, M"
WOS:000354733000008,"Einav, L; Finkelstein, A; Schrimpf, P"
WOS:000351525000007,"Galasso, A; Schankerman, M"
WOS:000342236000002,"Allen, T; Arkolakis, C"
WOS:000342236000006,"Hanna, R; Mullainathan, S; Schwartzstein, J"
WOS:000330451700004,"Michalopoulos, S; Papaioannou, E"
WOS:000942114200001,"Le Pennec, C; Pons, V"
WOS:000885663500001,"Abadie, A; Athey, S; Imbens, GW; Wooldridge, JM"
WOS:000728439200006,"Mian, A; Straub, L; Sufi, A"
WOS:000593217300005,"Boehm, J; Oberfield, E"
WOS:000489162800010,"Mbiti, I; Muralidharan, K; Romero, M; Schipper, Y; Manda, C; Rajani, R"
WOS:000451280400009,"Bursztyn, L; Ferman, B; Fiorin, S; Kanz, M; Rao, G"
WOS:000451280400004,"Nakamura, E; Steinsson, J"
WOS:000401981500003,"Kogan, L; Papanikolaou, D; Seru, A; Stoffman, N"
WOS:000383326100009,"Broner, F; Ventura, J"
WOS:000371602500006,"Casaburi, L; Troiano, U"
WOS:000354733000011,"Dal Bo, E; Finan, F; Rossi, MA"
WOS:000351525000004,"Bloom, N; Liang, J; Roberts, J; Ying, ZJ"
WOS:001065157900001,"Adukia, A; Eble, A; Harrison, E; Runesha, HB; Szasz, T"
WOS:000999691800001,"Bazzi, S; Ferrara, A; Fiszbein, M; Pearson, T; Testa, PA"
WOS:000855414400001,"Kermani, A; Ma, YR"
WOS:000770421700001,"Hazell, J; Herreño, J; Nakamura, E; Steinsson, J"
WOS:000728439200010,"Angeletos, GM; Sastry, KA"
WOS:000743312400005,"Biasi, B; Sarsons, H"
WOS:000642334600004,"Shapiro, JS"
WOS:000544015700008,"Bustos, P; Garber, G; Ponticelli, J"
WOS:000489162100004,"Jaravel, X"
WOS:000451280400003,"Cai, J; Szeidl, A"
WOS:000435871300007,"Che, YK; Hörner, J"
WOS:000423802600007,"Henderson, JV; Squires, T; Storeygard, A; Weil, D"
WOS:000412764300008,"Gopinath, G; Kalemli-Özcan, S; Karabarbounis, L; Villegas-Sanchez, C"
WOS:000406177000011,"Kirkeboen, L; Leuven, E; Mogstad, M"
WOS:000365535400007,"Adena, M; Enikolopov, R; Petrova, M; Santarosa, V; Zhuravskaya, E"
WOS:000365535400004,"Aguiar, M; Amador, M; Farhi, E; Gopinath, G"
WOS:000351525000001,"Giglio, S; Maggiori, M; Stroebel, J"
WOS:000336146600010,"Hodler, R; Raschky, PA"
WOS:001010970300001,"Ghosh, A; Hwang, SI; Squires, M"
WOS:000946888200001,"Besley, T; Persson, T"
WOS:000836125300001,"Ilut, C; Valchev, R"
WOS:000612198000002,"Baron, M; Verner, E; Xiong, W"
WOS:000489163400008,"Benson, A; Li, D; Shue, K"
WOS:000489162800009,"Allcott, H; Lockwood, BB; Taubinsky, D"
WOS:000489162800007,"Barjamovic, G; Chaney, T; Cosar, K; Hortaçsu, A"
WOS:000451281400003,"Dickstein, MJ; Morales, E"
WOS:000435871300002,"Breza, E; Kaur, S; Shamdasani, Y"
WOS:000396771300004,"Tintelnot, F"
WOS:000388576700006,"Kline, P; Walters, CR"
WOS:000380249200002,"Pinkovskiy, M; Sala-I-Martin, X"
WOS:000371602500001,"Farhi, E; Gabaix, X"
WOS:000371602500007,"Sampson, T"
WOS:000818056100001,"Hermo, S; Päällysaho, M; Seim, D; Shapiro, JM"
WOS:000767684700001,"Acemoglu, D; De Feo, G; De Luca, G; Russo, G"
WOS:000743312400006,"Dustmann, C; Lindner, A; Schönberg, U; Umkehrer, M; vom Berge, P"
WOS:000743312400007,"Akcigit, U; Grigsby, J; Nicholas, T; Stantcheva, S"
WOS:000743312400002,"Feigenberg, B; Miller, C"
WOS:000672777600004,"Coppola, A; Maggiori, M; Neiman, B; Schreger, J"
WOS:000593217300001,"Auriol, E; Lassebie, J; Panin, A; Raiber, E; Seabright, P"
WOS:000489162100003,"Bell, A; Chetty, R; Jaravel, X; Petkova, N; Van Reenen, J"
WOS:000489162100007,"Blouin, A; Macchiavello, R"
WOS:000451280400010,"Fowlie, M; Greenstone, M; Wolfram, C"
WOS:000435871300006,"Hansen, S; McMahon, M; Prat, A"
WOS:000412764300012,"Angrist, JD; Hull, PD; Pathak, PA; Walters, CR"
